/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 20, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 64, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 10, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:74: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -0.6956972049607429, logmi: 0.0007234930992126465
Episode 69, logq_z: -2.97110230922699, logmi: -0.0005364298820495605
Episode 70, logq_z: -2.915747380256653, logmi: 2.4086236953735353e-05
Episode 71, logq_z: -2.9067874193191527, logmi: 4.7206878662109375e-05
Episode 72, logq_z: -2.871344709396362, logmi: -4.386305809020996e-05
Episode 73, logq_z: -2.7605406284332275, logmi: -6.425380706787109e-06
Episode 74, logq_z: -2.8983965635299684, logmi: 1.277923583984375e-05
Episode 75, logq_z: -2.983251428604126, logmi: -9.21487808227539e-06
Episode 76, logq_z: -2.9778696298599243, logmi: -3.1101703643798825e-05
Episode 77, logq_z: -2.8880739212036133, logmi: -1.0442733764648437e-05
Episode 78, logq_z: -2.7555089473724363, logmi: 8.761882781982421e-07
Episode 79, logq_z: -3.2921420335769653, logmi: -4.76837158203125e-06
Episode 80, logq_z: -3.05149964094162, logmi: -0.00018700957298278809
Episode 81, logq_z: -3.0407185316085816, logmi: -6.008148193359375e-05
Episode 82, logq_z: -2.9021337747573854, logmi: -0.00016448497772216796
Episode 83, logq_z: -2.863821768760681, logmi: -4.0537118911743165e-05
Episode 84, logq_z: -2.92460777759552, logmi: -0.00025683045387268064
Episode 85, logq_z: -2.8374290227890016, logmi: 6.341934204101563e-06
Episode 86, logq_z: -3.0338062047958374, logmi: -3.0398368835449217e-07
Episode 87, logq_z: -2.7897047996520996, logmi: 2.3382902145385743e-05
Episode 88, logq_z: -2.9093148469924928, logmi: -0.00024328231811523437
Episode 89, logq_z: -2.9210346221923826, logmi: 8.338689804077149e-06
Episode 90, logq_z: -2.9665040493011476, logmi: 4.231929779052734e-07
Episode 91, logq_z: -2.977691102027893, logmi: 7.557868957519531e-06
Episode 92, logq_z: -2.7594104290008543, logmi: 7.450580596923828e-07
Episode 93, logq_z: -2.997947263717651, logmi: 9.113550186157227e-06
Episode 94, logq_z: -2.6899150967597962, logmi: -3.248453140258789e-06
Episode 95, logq_z: -2.947641205787659, logmi: 9.381771087646485e-06
Episode 96, logq_z: -3.2062515020370483, logmi: 2.276897430419922e-06
Episode 97, logq_z: -2.956654906272888, logmi: -0.0004523873329162598
Episode 98, logq_z: -2.859642171859741, logmi: 4.812479019165039e-05
Episode 99, logq_z: -2.901622939109802, logmi: 2.5069713592529298e-05
Policy saved at ./checkpoints/joint_policy_100_2025-05-30-18-50-01.pt
Episode 100, logq_z: -2.982712507247925, logmi: -0.00023955106735229492
Episode 101, logq_z: -2.9518586874008177, logmi: -4.863142967224121e-05
Episode 102, logq_z: -3.043561506271362, logmi: -0.0003203868865966797
Episode 103, logq_z: -2.925714540481567, logmi: 5.489587783813476e-06
Episode 104, logq_z: -2.814342498779297, logmi: 5.36501407623291e-05
Episode 105, logq_z: -3.137356662750244, logmi: -2.276897430419922e-05
Episode 106, logq_z: -3.034694266319275, logmi: -0.000737839937210083
Episode 107, logq_z: -2.92390923500061, logmi: 6.737112998962402e-05
Episode 108, logq_z: -2.821722722053528, logmi: -2.7245283126831056e-05
Episode 109, logq_z: -2.9980005741119387, logmi: 6.455779075622558e-05
Episode 110, logq_z: -2.978503131866455, logmi: 4.197359085083008e-05
Episode 111, logq_z: -2.747470939159393, logmi: 2.3418664932250975e-05
Episode 112, logq_z: -2.8189983129501344, logmi: 2.6500225067138673e-05
Episode 113, logq_z: -3.112554168701172, logmi: -0.000291365385055542
Episode 114, logq_z: -2.9823789834976195, logmi: -4.751086235046387e-05
Episode 115, logq_z: -2.951351761817932, logmi: -1.067519187927246e-05
Episode 116, logq_z: -2.7842923641204833, logmi: -0.0002521038055419922
Episode 117, logq_z: -2.923252320289612, logmi: -0.0006033360958099365
Episode 118, logq_z: -2.961719608306885, logmi: -0.0009043455123901367
Episode 119, logq_z: -2.7651764273643495, logmi: 0.00019464492797851562
Episode 120, logq_z: -2.911471724510193, logmi: 0.000142669677734375
Episode 121, logq_z: -2.9520636320114138, logmi: 6.497502326965331e-05
Episode 122, logq_z: -2.797347402572632, logmi: 7.219910621643066e-05
Episode 123, logq_z: -2.9701011180877686, logmi: 1.729130744934082e-05
Episode 124, logq_z: -2.8509551167488096, logmi: 1.8048286437988282e-05
Episode 125, logq_z: -2.9540336608886717, logmi: -3.5047531127929686e-06
Episode 126, logq_z: -2.9835386514663695, logmi: 5.894899368286133e-06
Episode 127, logq_z: -2.811889314651489, logmi: -2.7179718017578126e-06
Episode 128, logq_z: -2.8794333219528196, logmi: 1.9347667694091798e-05
Episode 129, logq_z: -2.9369171380996706, logmi: -5.424022674560547e-07
Episode 130, logq_z: -2.968729305267334, logmi: -4.631280899047852e-06
Episode 131, logq_z: -2.8531286478042603, logmi: -5.221366882324218e-06
Episode 132, logq_z: -2.9596129655838013, logmi: -1.4984607696533203e-05
Episode 133, logq_z: -2.8367801666259767, logmi: 2.6166439056396484e-06
Episode 134, logq_z: -2.8188754320144653, logmi: 6.771087646484375e-06
Episode 135, logq_z: -3.0221754789352415, logmi: -8.344650268554687e-08
Episode 136, logq_z: -2.747809088230133, logmi: -1.5377998352050782e-06
Episode 137, logq_z: -3.026213264465332, logmi: 5.757808685302734e-06
Episode 138, logq_z: -3.1811380624771117, logmi: -3.337860107421875e-07
Episode 139, logq_z: -2.9478811502456663, logmi: -2.8324127197265624e-05
Episode 140, logq_z: -2.920848560333252, logmi: 1.018047332763672e-05
Episode 141, logq_z: -3.0894800424575806, logmi: 8.20159912109375e-06
Episode 142, logq_z: -3.0237170219421388, logmi: -7.110834121704101e-06
Episode 143, logq_z: -2.990026760101318, logmi: -2.747774124145508e-06
Episode 144, logq_z: -2.972070503234863, logmi: -4.8995018005371095e-06
Episode 145, logq_z: -2.913881778717041, logmi: -0.00038059353828430177
Episode 146, logq_z: -2.7537142276763915, logmi: -2.2530555725097655e-06
Episode 147, logq_z: -2.7777475237846376, logmi: -2.0384788513183595e-06
Episode 148, logq_z: -2.9234457492828367, logmi: 1.6570091247558594e-06
Episode 149, logq_z: -3.1977850198745728, logmi: -6.192922592163086e-06
Episode 150, logq_z: -3.0459290981292724, logmi: -0.00029573440551757815
Episode 151, logq_z: -2.9529995679855348, logmi: 2.866983413696289e-06
Episode 152, logq_z: -2.982122206687927, logmi: -1.7309188842773436e-05
Episode 153, logq_z: -2.997401475906372, logmi: -5.601048469543457e-05
Episode 154, logq_z: -2.8816059112548826, logmi: 2.7555227279663087e-05
Episode 155, logq_z: -3.0337506771087646, logmi: -2.5212764739990233e-06
Episode 156, logq_z: -2.872858452796936, logmi: -0.00045902729034423827
Episode 157, logq_z: -3.0401667833328245, logmi: -0.0009468615055084229
Episode 158, logq_z: -2.813443291187286, logmi: 1.6689300537109375e-05
Episode 159, logq_z: -2.975947546958923, logmi: -0.00010109543800354003
Episode 160, logq_z: -2.9811940670013426, logmi: 6.096959114074707e-05
Episode 161, logq_z: -2.993469309806824, logmi: 5.156397819519043e-05
Episode 162, logq_z: -3.0409810066223146, logmi: 3.6144256591796874e-05
Episode 163, logq_z: -2.9783119440078734, logmi: 1.5079975128173828e-05
Episode 164, logq_z: -2.928192663192749, logmi: 1.2618303298950195e-05
Episode 165, logq_z: -2.9776341199874876, logmi: -9.816884994506835e-06
Episode 166, logq_z: -2.8782476663589476, logmi: -0.0007999181747436523
Episode 167, logq_z: -2.9162560224533083, logmi: 1.1920928955078125e-06
Episode 168, logq_z: -3.01744339466095, logmi: -0.0015945911407470703
Episode 169, logq_z: -2.9224998474121096, logmi: 4.511475563049316e-05
Episode 170, logq_z: -2.9567434787750244, logmi: 7.337331771850586e-05
Episode 171, logq_z: -3.0774837732315063, logmi: -0.0008280038833618164
Episode 172, logq_z: -2.9793571710586546, logmi: 1.0102987289428711e-05
Episode 173, logq_z: -3.0499164342880247, logmi: -3.512501716613769e-05
Episode 174, logq_z: -2.9965185642242433, logmi: 4.678964614868164e-06
Episode 175, logq_z: -2.9696759223937987, logmi: -0.0002365410327911377
Episode 176, logq_z: -3.036083769798279, logmi: -2.1398067474365234e-06
Episode 177, logq_z: -2.921577882766724, logmi: 1.8715858459472655e-06
Episode 178, logq_z: -3.065100073814392, logmi: -1.3232231140136718e-06
Episode 179, logq_z: -3.0073632478713987, logmi: -1.7344951629638673e-06
Episode 180, logq_z: -3.0059831142425537, logmi: 1.5974044799804688e-06
Episode 181, logq_z: -3.0858686447143553, logmi: -1.0788440704345704e-06
Episode 182, logq_z: -2.9690223693847657, logmi: 3.5047531127929686e-06
Episode 183, logq_z: -2.9403013944625855, logmi: 3.856420516967774e-06
Episode 184, logq_z: -2.9858747720718384, logmi: 6.377696990966796e-07
Episode 185, logq_z: -2.9599132776260375, logmi: -0.00042446255683898927
Episode 186, logq_z: -2.935047078132629, logmi: 6.079673767089843e-07
Episode 187, logq_z: -3.0205852031707763, logmi: -3.4332275390625e-06
Episode 188, logq_z: -3.0165516138076782, logmi: 1.2695789337158204e-06
Episode 189, logq_z: -3.018263053894043, logmi: 6.002187728881836e-06
Episode 190, logq_z: -3.0079267024993896, logmi: -9.238719940185547e-07
Episode 191, logq_z: -3.020197939872742, logmi: 2.491474151611328e-06
Episode 192, logq_z: -2.9550298929214476, logmi: 4.994869232177734e-06
Episode 193, logq_z: -2.914882850646973, logmi: -0.00048174262046813966
Episode 194, logq_z: -2.9791431188583375, logmi: 1.0466575622558593e-05
Episode 195, logq_z: -3.045712876319885, logmi: -4.911422729492188e-06
Episode 196, logq_z: -2.939000868797302, logmi: -0.000554889440536499
Episode 197, logq_z: -2.9225085973739624, logmi: 1.119375228881836e-05
Episode 198, logq_z: -2.9576024055480956, logmi: 1.8346309661865235e-05
Episode 199, logq_z: -2.8839008808135986, logmi: 5.5730342864990234e-05
Policy saved at ./checkpoints/joint_policy_200_2025-05-30-19-11-01.pt
Episode 200, logq_z: -2.9813293695449827, logmi: 1.6880035400390624e-05
