Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': False, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 100, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Keep training from previous MI estimator.
  0%|                                                                                                                            | 0/100 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 1.2099742889404297e-05
Episode 73, logq_z: -1.5666122436523438, logmi: -2.0707957446575165e-06
Episode 74, logq_z: -1.5224885940551758, logmi: -2.4881679564714432e-05
Episode 75, logq_z: -1.488420009613037, logmi: -6.4300838857889175e-06
Episode 76, logq_z: -1.4835113286972046, logmi: -5.615875124931335e-07
Episode 77, logq_z: -1.5602422952651978, logmi: -1.8634600564837456e-05
Episode 78, logq_z: -1.5449016094207764, logmi: -9.567709639668465e-06
Episode 79, logq_z: -1.5356017351150513, logmi: -5.573499947786331e-06
Episode 80, logq_z: -1.5435543060302734, logmi: -1.9336119294166565e-05
Episode 81, logq_z: -1.5728119611740112, logmi: -1.1059688404202461e-05
Episode 82, logq_z: -1.49997079372406, logmi: -1.607113517820835e-05
Episode 83, logq_z: -1.5339641571044922, logmi: 4.3283216655254364e-07
Episode 84, logq_z: -1.5036897659301758, logmi: -1.2165168300271034e-05
Episode 85, logq_z: -1.5028142929077148, logmi: -5.695037543773651e-06
Episode 86, logq_z: -1.5280523300170898, logmi: -2.1231593564152718e-05
Episode 87, logq_z: -1.545114278793335, logmi: -1.2560980394482613e-05
Episode 88, logq_z: -1.5495824813842773, logmi: -2.9169023036956787e-06
Episode 89, logq_z: -1.525665283203125, logmi: -2.0186183974146843e-05
Episode 90, logq_z: -1.5328840017318726, logmi: -7.955823093652725e-06
Episode 91, logq_z: -1.5200779438018799, logmi: -1.9759172573685646e-05
Episode 92, logq_z: -1.5249249935150146, logmi: -2.99038365483284e-05
Episode 93, logq_z: -1.5284302234649658, logmi: -3.2153911888599396e-05
Episode 94, logq_z: -1.5647658109664917, logmi: -2.6885652914643288e-05
Episode 95, logq_z: -1.533457636833191, logmi: -2.4656997993588448e-05
Episode 96, logq_z: -1.5034054517745972, logmi: -2.7701258659362793e-05
Episode 97, logq_z: -1.5366668701171875, logmi: -3.317953087389469e-05
Episode 98, logq_z: -1.5246810913085938, logmi: -2.521066926419735e-05
Episode 99, logq_z: -1.5379292964935303, logmi: -2.9925955459475517e-05
Policy saved at ./checkpoints/joint_policy_100_2025-06-23-19-37-16.pt
Episode 100, logq_z: -1.7086530923843384, logmi: 3.337860107421875e-06
