Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.3691835403442383, logmi: 0.0067844390869140625
Episode 75, logq_z: -1.5291740894317627, logmi: -1.901201903820038e-05
Episode 76, logq_z: -1.4988771677017212, logmi: 9.65944491326809e-06
Episode 77, logq_z: -1.4912768602371216, logmi: -1.1955853551626205e-06
Episode 78, logq_z: -1.4719988107681274, logmi: 6.488524377346039e-06
Episode 79, logq_z: -1.5493196249008179, logmi: 5.641020834445953e-06
Episode 80, logq_z: -1.516313076019287, logmi: 4.5376596972346306e-05
Episode 81, logq_z: -1.565087080001831, logmi: -1.4416873455047607e-05
Episode 82, logq_z: -1.5504846572875977, logmi: 1.0589603334665298e-05
Episode 83, logq_z: -1.5261791944503784, logmi: 2.9437709599733353e-05
Episode 84, logq_z: -1.5217403173446655, logmi: 2.2404128685593605e-05
Episode 85, logq_z: -1.532331943511963, logmi: 2.5616958737373352e-05
Episode 86, logq_z: -1.508355736732483, logmi: 3.651273436844349e-05
Episode 87, logq_z: -1.500825047492981, logmi: 1.4392659068107605e-05
Episode 88, logq_z: -1.4853448867797852, logmi: 2.1360814571380615e-05
Episode 89, logq_z: -1.4632514715194702, logmi: 6.220303475856781e-06
Episode 90, logq_z: -1.5083332061767578, logmi: -4.5979395508766174e-06
Episode 91, logq_z: -1.5147720575332642, logmi: 2.6030465960502625e-05
Episode 92, logq_z: -1.5207643508911133, logmi: 5.459180101752281e-05
Episode 93, logq_z: -1.4875264167785645, logmi: 7.513444870710373e-06
Episode 94, logq_z: -1.482290267944336, logmi: 4.901387728750706e-05
Episode 95, logq_z: -1.5290491580963135, logmi: -6.866408511996269e-06
Episode 96, logq_z: -1.5012903213500977, logmi: -1.1768890544772148e-05
Episode 97, logq_z: -1.530471920967102, logmi: -9.178882464766502e-06
Episode 98, logq_z: -1.523682951927185, logmi: 1.4163553714752197e-05
Episode 99, logq_z: -1.5263710021972656, logmi: -7.991213351488113e-06
Policy saved at ./checkpoints/joint_policy_100_2025-06-04-19-12-07.pt
Episode 100, logq_z: -1.4776923656463623, logmi: 6.178161129355431e-06
Episode 101, logq_z: -1.5080914497375488, logmi: 3.200140781700611e-05
Episode 102, logq_z: -1.4731649160385132, logmi: 7.331371307373047e-06
Episode 103, logq_z: -1.525785207748413, logmi: -1.918058842420578e-06
Episode 104, logq_z: -1.5113409757614136, logmi: 1.9215047359466553e-05
Episode 105, logq_z: -1.4900280237197876, logmi: 1.439778134226799e-05
Episode 106, logq_z: -1.5141079425811768, logmi: 8.235219866037369e-06
Episode 107, logq_z: -1.4926501512527466, logmi: 8.228933438658714e-06
Episode 108, logq_z: -1.503248691558838, logmi: -3.84659506380558e-06
Episode 109, logq_z: -1.4567592144012451, logmi: -1.498265191912651e-06
Episode 110, logq_z: -1.4857854843139648, logmi: 5.384674295783043e-06
Episode 111, logq_z: -1.4717930555343628, logmi: -7.963506504893303e-06
Episode 112, logq_z: -1.5217552185058594, logmi: -2.164160832762718e-06
Episode 113, logq_z: -1.5180211067199707, logmi: -1.1066906154155731e-05
