Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                            | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.3691835403442383, logmi: 0.0067844390869140625
Episode 74, logq_z: -1.5272971391677856, logmi: 2.045184373855591e-06
Episode 75, logq_z: -1.5300843715667725, logmi: -2.1900981664657593e-05
Episode 76, logq_z: -1.4990668296813965, logmi: 3.093155100941658e-06
Episode 77, logq_z: -1.4898490905761719, logmi: -1.0159332305192947e-05
Episode 78, logq_z: -1.4706573486328125, logmi: 6.657559424638748e-06
Episode 79, logq_z: -1.5475842952728271, logmi: 2.3688189685344696e-06
Episode 80, logq_z: -1.514714241027832, logmi: 3.736349754035473e-05
Episode 81, logq_z: -1.56510591506958, logmi: -8.395873010158539e-06
Episode 82, logq_z: -1.5451802015304565, logmi: 9.218230843544006e-06
Episode 83, logq_z: -1.5232542753219604, logmi: 1.4081131666898727e-05
Episode 84, logq_z: -1.520662546157837, logmi: 1.1689495295286179e-05
Episode 85, logq_z: -1.5323899984359741, logmi: 1.7410609871149063e-05
Episode 86, logq_z: -1.5081267356872559, logmi: 2.132449299097061e-05
Episode 87, logq_z: -1.4975486993789673, logmi: 6.834743544459343e-06
Episode 88, logq_z: -1.4791669845581055, logmi: 1.888698898255825e-05
Episode 89, logq_z: -1.4598585367202759, logmi: 6.143935024738312e-06
Episode 90, logq_z: -1.5060957670211792, logmi: -5.953479558229446e-06
Episode 91, logq_z: -1.5142403841018677, logmi: 1.7363345250487328e-05
Episode 92, logq_z: -1.5210930109024048, logmi: 3.807316534221172e-05
Episode 93, logq_z: -1.4843021631240845, logmi: -1.973705366253853e-06
Episode 94, logq_z: -1.478539228439331, logmi: 2.5026733055710793e-05
Episode 95, logq_z: -1.5260539054870605, logmi: -1.0474584996700287e-05
Episode 96, logq_z: -1.4995137453079224, logmi: -1.3323966413736343e-05
Episode 97, logq_z: -1.5270718336105347, logmi: -7.753260433673859e-06
Episode 98, logq_z: -1.5220345258712769, logmi: 1.3513490557670593e-06
Episode 99, logq_z: -1.5264439582824707, logmi: -1.0492512956261635e-05
Policy saved at ./checkpoints/joint_policy_100_2025-06-06-19-09-50.pt
Episode 100, logq_z: -1.476460576057434, logmi: 4.691770300269127e-06
Episode 101, logq_z: -1.5028128623962402, logmi: 2.1570594981312752e-05
Episode 102, logq_z: -1.4726568460464478, logmi: 2.344837412238121e-06
Episode 103, logq_z: -1.5251505374908447, logmi: 4.98560257256031e-06
Episode 104, logq_z: -1.5089240074157715, logmi: 9.640352800488472e-06
Episode 105, logq_z: -1.4899194240570068, logmi: 9.656418114900589e-06
Episode 106, logq_z: -1.512204647064209, logmi: -1.318054273724556e-06
Episode 107, logq_z: -1.4904494285583496, logmi: -6.156042218208313e-07
Episode 108, logq_z: -1.5038261413574219, logmi: -1.0652933269739151e-05
Episode 109, logq_z: -1.4578849077224731, logmi: 1.1734664440155029e-07
Episode 110, logq_z: -1.4852999448776245, logmi: 1.173233613371849e-06
Episode 111, logq_z: -1.4702248573303223, logmi: -2.158619463443756e-05
Episode 112, logq_z: -1.5199447870254517, logmi: -1.966254785656929e-06
Episode 113, logq_z: -1.5171514749526978, logmi: -1.9969185814261436e-05
Episode 114, logq_z: -1.5140085220336914, logmi: -2.273358404636383e-06
Episode 115, logq_z: -1.50606369972229, logmi: -4.5356107875704765e-05
Episode 116, logq_z: -1.520992636680603, logmi: -1.6881851479411125e-05
Episode 117, logq_z: -1.476288914680481, logmi: -1.2510688975453377e-05
Episode 118, logq_z: -1.4927611351013184, logmi: 2.1497253328561783e-06
Episode 119, logq_z: -1.4870673418045044, logmi: -3.4696189686656e-05
Episode 120, logq_z: -1.4982120990753174, logmi: -6.059883162379265e-06
Episode 121, logq_z: -1.5375735759735107, logmi: -2.0623672753572464e-05
Episode 122, logq_z: -1.5477722883224487, logmi: -1.394166611135006e-05
Episode 123, logq_z: -1.5091744661331177, logmi: 3.0829571187496185e-05
Episode 124, logq_z: -1.4914724826812744, logmi: -4.6300701797008514e-06
Episode 125, logq_z: -1.5143253803253174, logmi: -9.18051227927208e-06
Episode 126, logq_z: -1.5396754741668701, logmi: 1.7269514501094818e-05
Episode 127, logq_z: -1.5370875597000122, logmi: 1.9935891032218933e-05
Episode 128, logq_z: -1.5417755842208862, logmi: -1.681526191532612e-05
Episode 129, logq_z: -1.4925881624221802, logmi: -2.4477951228618622e-05
Episode 130, logq_z: -1.5106439590454102, logmi: 1.5490222722291946e-06
Episode 131, logq_z: -1.477293610572815, logmi: -1.7811544239521027e-06
Episode 132, logq_z: -1.4784705638885498, logmi: -1.2790551409125328e-05
