Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.01, 0.01], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.513798713684082, logmi: 0.004027336835861206
Episode 74, logq_z: -1.4220566749572754, logmi: 1.8268590793013573e-05
Episode 75, logq_z: -1.377197265625, logmi: 1.576659269630909e-05
Episode 76, logq_z: -1.4011976718902588, logmi: 6.840098649263382e-06
Episode 77, logq_z: -1.4506102800369263, logmi: 1.3622920960187912e-05
Episode 78, logq_z: -1.4360226392745972, logmi: 1.2127216905355453e-05
Episode 79, logq_z: -1.4241279363632202, logmi: 1.212162896990776e-05
Episode 80, logq_z: -1.4347656965255737, logmi: -1.5012919902801514e-06
Episode 81, logq_z: -1.4750311374664307, logmi: 3.162538632750511e-06
Episode 82, logq_z: -1.4020532369613647, logmi: -9.992392733693123e-06
Episode 83, logq_z: -1.4576342105865479, logmi: 1.9111670553684235e-05
Episode 84, logq_z: -1.4462692737579346, logmi: 6.18654303252697e-06
Episode 85, logq_z: -1.4162521362304688, logmi: 1.0271556675434113e-05
Episode 86, logq_z: -1.466676950454712, logmi: 1.6079284250736237e-05
Episode 87, logq_z: -1.4562662839889526, logmi: 3.40072438120842e-05
Episode 88, logq_z: -1.482440710067749, logmi: 1.4298129826784134e-06
Episode 89, logq_z: -1.4316623210906982, logmi: 1.6855774447321892e-05
Episode 90, logq_z: -1.4587162733078003, logmi: 2.7404166758060455e-06
Episode 91, logq_z: -1.4181745052337646, logmi: 1.7266254872083664e-05
Episode 92, logq_z: -1.4231243133544922, logmi: 6.212852895259857e-06
Episode 93, logq_z: -1.4532599449157715, logmi: -2.234242856502533e-06
Episode 94, logq_z: -1.4535115957260132, logmi: 7.360801100730896e-05
Episode 95, logq_z: -1.446100115776062, logmi: 3.1878938898444176e-05
Episode 96, logq_z: -1.4074318408966064, logmi: 1.0211486369371414e-05
Episode 97, logq_z: -1.4415509700775146, logmi: 4.1620805859565735e-06
Episode 98, logq_z: -1.4338752031326294, logmi: 1.2581003829836845e-05
Episode 99, logq_z: -1.4375605583190918, logmi: 5.125068128108978e-06
Policy saved at ./checkpoints/joint_policy_100_2025-06-27-14-49-22.pt
Episode 100, logq_z: -1.468380093574524, logmi: 1.0507646948099136e-06
Episode 101, logq_z: -1.4572389125823975, logmi: 3.4242402762174606e-06
Episode 102, logq_z: -1.4437689781188965, logmi: 2.1875835955142975e-05
Episode 103, logq_z: -1.4464232921600342, logmi: -7.443595677614212e-06
Episode 104, logq_z: -1.4451184272766113, logmi: 5.727633833885193e-08
Episode 105, logq_z: -1.425437092781067, logmi: 6.477581337094307e-06
Episode 106, logq_z: -1.3816686868667603, logmi: -5.971873179078102e-06
Episode 107, logq_z: -1.4558030366897583, logmi: 1.4441320672631264e-05
Episode 108, logq_z: -1.4810692071914673, logmi: 2.745562233030796e-05
Episode 109, logq_z: -1.5350371599197388, logmi: 1.4246907085180283e-06
Episode 110, logq_z: -1.5079107284545898, logmi: 6.302027031779289e-06
Episode 111, logq_z: -1.481763482093811, logmi: 1.598987728357315e-05
Episode 112, logq_z: -1.4592276811599731, logmi: 1.8544960767030716e-06
Episode 113, logq_z: -1.4131438732147217, logmi: 3.328127786517143e-05
Episode 114, logq_z: -1.5302221775054932, logmi: 2.0199688151478767e-05
Episode 115, logq_z: -1.4686487913131714, logmi: 8.940231055021286e-06
Episode 116, logq_z: -1.497326135635376, logmi: -3.853347152471542e-06
Episode 117, logq_z: -1.5352046489715576, logmi: 1.224013976752758e-05
Episode 118, logq_z: -1.5136895179748535, logmi: 2.9762741178274155e-05
Episode 119, logq_z: -1.4483165740966797, logmi: 1.1948170140385628e-05
Episode 120, logq_z: -1.4934823513031006, logmi: 1.123105175793171e-05
Episode 121, logq_z: -1.4920332431793213, logmi: -9.71602275967598e-07
Episode 122, logq_z: -1.4842685461044312, logmi: 2.6341760531067848e-05
Episode 123, logq_z: -1.503525972366333, logmi: 5.323905497789383e-06
Episode 124, logq_z: -1.4664204120635986, logmi: 1.3471581041812897e-05
Episode 125, logq_z: -1.492979645729065, logmi: 8.580274879932404e-06
Episode 126, logq_z: -1.4974086284637451, logmi: 1.1324882507324219e-06
Episode 127, logq_z: -1.4546730518341064, logmi: 1.7341692000627518e-05
Episode 128, logq_z: -1.4142508506774902, logmi: 6.696442142128944e-06
Episode 129, logq_z: -1.4450793266296387, logmi: -1.517939381301403e-05
Episode 130, logq_z: -1.53095281124115, logmi: 1.5914905816316605e-05
Episode 131, logq_z: -1.4844697713851929, logmi: 1.8615741282701492e-05
Episode 132, logq_z: -1.4752446413040161, logmi: -1.0695075616240501e-05
Episode 133, logq_z: -1.4368276596069336, logmi: 1.077074557542801e-06
Episode 134, logq_z: -1.4631956815719604, logmi: 6.889691576361656e-06
Episode 135, logq_z: -1.4745160341262817, logmi: 3.7550926208496094e-06
Episode 136, logq_z: -1.4676345586776733, logmi: 2.415175549685955e-05
Episode 137, logq_z: -1.4703150987625122, logmi: 8.233357220888138e-06
Episode 138, logq_z: -1.4619834423065186, logmi: -2.7494970709085464e-06
Episode 139, logq_z: -1.4478404521942139, logmi: -1.2281117960810661e-05
Episode 140, logq_z: -1.4661388397216797, logmi: 3.0798837542533875e-06
Episode 141, logq_z: -1.4399356842041016, logmi: 3.912486135959625e-06
Episode 142, logq_z: -1.4797401428222656, logmi: 6.411690264940262e-06
Episode 143, logq_z: -1.4912316799163818, logmi: -5.3835101425647736e-06
Episode 144, logq_z: -1.4211177825927734, logmi: -1.142662949860096e-05
Episode 145, logq_z: -1.4643090963363647, logmi: -6.434274837374687e-06
Episode 146, logq_z: -1.485948920249939, logmi: -1.5222933143377304e-05
Episode 147, logq_z: -1.4793320894241333, logmi: 1.691281795501709e-05
Episode 148, logq_z: -1.4628609418869019, logmi: 1.0950025171041489e-06
Episode 149, logq_z: -1.4606716632843018, logmi: 2.77138315141201e-06
Episode 150, logq_z: -1.446509599685669, logmi: 1.2681586667895317e-05
Episode 151, logq_z: -1.4988398551940918, logmi: -1.9457191228866577e-05
Episode 152, logq_z: -1.54686439037323, logmi: 1.116609200835228e-05
Episode 153, logq_z: -1.476517677307129, logmi: -1.1036638170480728e-05
Episode 154, logq_z: -1.4899439811706543, logmi: 5.573965609073639e-06
Episode 155, logq_z: -1.4330397844314575, logmi: 1.4471355825662613e-05
Episode 156, logq_z: -1.464545488357544, logmi: 1.1995900422334671e-05
Episode 157, logq_z: -1.5124554634094238, logmi: -8.922070264816284e-06
Episode 158, logq_z: -1.4808032512664795, logmi: -4.727859050035477e-06
Episode 159, logq_z: -1.4493402242660522, logmi: 6.647780537605286e-06
Episode 160, logq_z: -1.47300124168396, logmi: 2.7016038075089455e-05
Episode 161, logq_z: -1.500035047531128, logmi: -1.7968937754631042e-05
Episode 162, logq_z: -1.4968116283416748, logmi: -8.168397471308708e-06
Episode 163, logq_z: -1.5395220518112183, logmi: 1.2081814929842949e-05
Episode 164, logq_z: -1.4817153215408325, logmi: -4.5853666961193085e-06
Episode 165, logq_z: -1.5494004487991333, logmi: -1.8093502148985863e-05
Episode 166, logq_z: -1.5172150135040283, logmi: -8.285045623779297e-06
Episode 167, logq_z: -1.484436273574829, logmi: -1.1418014764785767e-06
Episode 168, logq_z: -1.5747522115707397, logmi: -9.18540172278881e-06
Episode 169, logq_z: -1.4882773160934448, logmi: 3.363005816936493e-06
Episode 170, logq_z: -1.4879802465438843, logmi: -5.584210157394409e-06
Episode 171, logq_z: -1.5457903146743774, logmi: 1.6218982636928558e-06
Episode 172, logq_z: -1.510768175125122, logmi: 6.382586434483528e-06
Episode 173, logq_z: -1.4259088039398193, logmi: -1.147715374827385e-05
Episode 174, logq_z: -1.4979137182235718, logmi: -1.3239216059446335e-05
Episode 175, logq_z: -1.418535828590393, logmi: 1.878943294286728e-07
Episode 176, logq_z: -1.4941738843917847, logmi: -1.8065795302391052e-05
Episode 177, logq_z: -1.5095891952514648, logmi: -9.218929335474968e-06
Episode 178, logq_z: -1.5022419691085815, logmi: -7.0123933255672455e-06
Episode 179, logq_z: -1.5572659969329834, logmi: -1.4936085790395737e-06
Episode 180, logq_z: -1.488917350769043, logmi: -2.5546178221702576e-06
Episode 181, logq_z: -1.4691500663757324, logmi: -1.6084639355540276e-05
Episode 182, logq_z: -1.5808634757995605, logmi: -1.1953292414546013e-05
Episode 183, logq_z: -1.4772230386734009, logmi: -1.6839709132909775e-05
Episode 184, logq_z: -1.4644619226455688, logmi: -2.001877874135971e-06
Episode 185, logq_z: -1.5043447017669678, logmi: -3.6654528230428696e-06
Episode 186, logq_z: -1.4929766654968262, logmi: -1.6468344256281853e-05
Episode 187, logq_z: -1.4806653261184692, logmi: -2.9280781745910645e-06
Episode 188, logq_z: -1.4832795858383179, logmi: -5.744164809584618e-06
Episode 189, logq_z: -1.4928507804870605, logmi: -6.9623347371816635e-06
Episode 190, logq_z: -1.4804941415786743, logmi: -7.002614438533783e-06
Episode 191, logq_z: -1.4989832639694214, logmi: -1.607951708137989e-05
Episode 192, logq_z: -1.4886664152145386, logmi: -2.0309584215283394e-05
Episode 193, logq_z: -1.4940273761749268, logmi: -4.034792073071003e-05
Episode 194, logq_z: -1.4488811492919922, logmi: 3.8174912333488464e-06
Episode 195, logq_z: -1.5239760875701904, logmi: -5.828449502587318e-06
Episode 196, logq_z: -1.5149738788604736, logmi: 5.610985681414604e-06
Episode 197, logq_z: -1.5070936679840088, logmi: -1.2525822967290878e-05
Episode 198, logq_z: -1.53824782371521, logmi: -6.763963028788567e-06
Episode 199, logq_z: -1.488650918006897, logmi: -1.238635741174221e-05
Policy saved at ./checkpoints/joint_policy_200_2025-06-27-15-09-54.pt
Episode 200, logq_z: -1.5180749893188477, logmi: -1.4124903827905655e-05
