Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': False, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Keep training from previous MI estimator.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 1.2814998626708984e-05
Episode 73, logq_z: -1.5641262531280518, logmi: -3.863032907247543e-05
Episode 74, logq_z: -1.5196768045425415, logmi: -2.7775531634688377e-05
Episode 75, logq_z: -1.4897111654281616, logmi: 1.454399898648262e-05
Episode 76, logq_z: -1.488985300064087, logmi: -3.8626836612820625e-05
Episode 77, logq_z: -1.5634442567825317, logmi: -4.279543645679951e-05
Episode 78, logq_z: -1.5456184148788452, logmi: -3.740587271749973e-05
Episode 79, logq_z: -1.5369704961776733, logmi: -1.5707453712821007e-05
Episode 80, logq_z: -1.5451633930206299, logmi: -1.2316973879933357e-05
Episode 81, logq_z: -1.569329023361206, logmi: -2.9701972380280495e-05
Episode 82, logq_z: -1.5025020837783813, logmi: -2.0654872059822083e-05
Episode 83, logq_z: -1.53343665599823, logmi: -1.2047821655869484e-05
Episode 84, logq_z: -1.5012314319610596, logmi: -3.102072514593601e-05
Episode 85, logq_z: -1.5042095184326172, logmi: -1.535378396511078e-05
Episode 86, logq_z: -1.5316524505615234, logmi: -3.366242162883282e-05
Episode 87, logq_z: -1.5492805242538452, logmi: -3.009103238582611e-05
Episode 88, logq_z: -1.552011251449585, logmi: -6.25064130872488e-05
Episode 89, logq_z: -1.5291091203689575, logmi: -2.4711713194847107e-05
Episode 90, logq_z: -1.533473253250122, logmi: -2.2121239453554153e-06
Episode 91, logq_z: -1.515995979309082, logmi: 6.937189027667046e-06
Episode 92, logq_z: -1.524782657623291, logmi: -4.11763321608305e-05
Episode 93, logq_z: -1.5259509086608887, logmi: -4.062661901116371e-05
Episode 94, logq_z: -1.5640077590942383, logmi: 1.6079284250736237e-06
Episode 95, logq_z: -1.5389560461044312, logmi: -3.300025127828121e-05
Episode 96, logq_z: -1.5076137781143188, logmi: -9.499024599790573e-06
Episode 97, logq_z: -1.537988543510437, logmi: -2.7400441467761993e-05
Episode 98, logq_z: -1.5246163606643677, logmi: -1.8729595467448235e-05
Episode 99, logq_z: -1.5370365381240845, logmi: -3.842380829155445e-05
Policy saved at ./checkpoints/joint_policy_100_2025-06-23-20-43-06.pt
Episode 100, logq_z: -1.7298792600631714, logmi: 4.231929779052734e-06
Episode 101, logq_z: -1.41981041431427, logmi: 1.4274846762418747e-05
Episode 102, logq_z: -1.5906283855438232, logmi: -3.8936035707592964e-05
Episode 103, logq_z: -1.9893935918807983, logmi: 2.3120082914829254e-07
Episode 104, logq_z: -2.0862252712249756, logmi: -3.6414479836821556e-05
Episode 105, logq_z: -2.0268092155456543, logmi: 4.9513764679431915e-06
Episode 106, logq_z: -1.613661289215088, logmi: -4.455912858247757e-06
Episode 107, logq_z: -1.5546159744262695, logmi: -1.1263648048043251e-05
Episode 108, logq_z: -1.5871762037277222, logmi: 1.1064345017075539e-05
Episode 109, logq_z: -1.8221819400787354, logmi: -8.993782103061676e-06
Episode 110, logq_z: -1.774280071258545, logmi: -2.469867467880249e-06
Episode 111, logq_z: -1.7703760862350464, logmi: 5.944166332483292e-07
Episode 112, logq_z: -1.922029972076416, logmi: 8.109724149107933e-06
Episode 113, logq_z: -2.0600523948669434, logmi: -1.751095987856388e-05
Episode 114, logq_z: -2.258901596069336, logmi: -2.2368039935827255e-06
Episode 115, logq_z: -2.073294162750244, logmi: 1.1578667908906937e-06
Episode 116, logq_z: -1.954349160194397, logmi: -1.500127837061882e-06
Episode 117, logq_z: -1.8887288570404053, logmi: 1.4065764844417572e-05
Episode 118, logq_z: -1.7788200378417969, logmi: -2.5385525077581406e-06
Episode 119, logq_z: -1.7430846691131592, logmi: 1.4207325875759125e-05
Episode 120, logq_z: -1.6929482221603394, logmi: -1.657288521528244e-05
Episode 121, logq_z: -1.7445517778396606, logmi: 1.7676502466201782e-06
Episode 122, logq_z: -1.7023905515670776, logmi: -1.0458054021000862e-05
Episode 123, logq_z: -1.7387359142303467, logmi: 3.455020487308502e-05
Episode 124, logq_z: -1.616397500038147, logmi: 1.7905374988913536e-05
Episode 125, logq_z: -1.7315943241119385, logmi: 1.0611256584525108e-05
Episode 126, logq_z: -1.66111159324646, logmi: 7.33579508960247e-06
Episode 127, logq_z: -1.699394941329956, logmi: 5.801906809210777e-06
Episode 128, logq_z: -1.6834582090377808, logmi: 1.501571387052536e-05
Episode 129, logq_z: -1.6232565641403198, logmi: 8.520437404513359e-06
Episode 130, logq_z: -1.630306363105774, logmi: 1.0041985660791397e-05
Episode 131, logq_z: -1.6023341417312622, logmi: 2.8223730623722076e-06
Episode 132, logq_z: -1.5897983312606812, logmi: 7.476191967725754e-07
Episode 133, logq_z: -1.6059471368789673, logmi: -2.7813948690891266e-06
Episode 134, logq_z: -1.6146758794784546, logmi: 3.0598603188991547e-06
Episode 135, logq_z: -1.5870188474655151, logmi: -4.928559064865112e-06
Episode 136, logq_z: -1.5951683521270752, logmi: -1.1566327884793282e-05
Episode 137, logq_z: -1.6053979396820068, logmi: -7.558614015579224e-06
Episode 138, logq_z: -1.6404426097869873, logmi: -2.7632340788841248e-06
Episode 139, logq_z: -1.668149471282959, logmi: -8.306466042995453e-06
Episode 140, logq_z: -1.595812439918518, logmi: -1.2976117432117462e-05
Episode 141, logq_z: -1.6177252531051636, logmi: -1.4546327292919159e-05
Episode 142, logq_z: -1.5902512073516846, logmi: -4.333211109042168e-06
Episode 143, logq_z: -1.6047031879425049, logmi: -2.471078187227249e-05
Episode 144, logq_z: -1.6211949586868286, logmi: -2.3510539904236794e-05
Episode 145, logq_z: -1.6159648895263672, logmi: -2.0741717889904976e-05
Episode 146, logq_z: -1.6071043014526367, logmi: -1.3972166925668716e-05
Episode 147, logq_z: -1.6355688571929932, logmi: -1.5173805877566338e-05
