/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 20, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 64, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 10, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:74: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -0.6956972049607429, logmi: 0.0007197201251983642
Episode 70, logq_z: -2.844301438331604, logmi: -0.0001082301139831543
Episode 71, logq_z: -2.8785872220993043, logmi: -0.0005775749683380127
Episode 72, logq_z: -2.8411276578903197, logmi: -0.000583571195602417
Episode 73, logq_z: -2.7085577726364134, logmi: -0.0013613402843475342
Episode 74, logq_z: -2.7213039875030516, logmi: 0.00055466890335083
Episode 75, logq_z: -3.0005258083343507, logmi: -0.00014281868934631347
Episode 76, logq_z: -2.852114224433899, logmi: -0.00046100616455078123
Episode 77, logq_z: -2.8680000066757203, logmi: -0.00047591328620910645
Episode 78, logq_z: -2.8348886013031005, logmi: -0.0006057441234588623
Episode 79, logq_z: -3.391325902938843, logmi: -0.0016243278980255127
Episode 80, logq_z: -3.0825549602508544, logmi: -0.00047600269317626953
Episode 81, logq_z: -3.0387106418609617, logmi: -0.000740504264831543
Episode 82, logq_z: -2.9025332927703857, logmi: -0.0007070839405059814
Episode 83, logq_z: -2.856164503097534, logmi: -0.0011467874050140382
Episode 84, logq_z: -2.864701533317566, logmi: -0.0004416525363922119
Episode 85, logq_z: -2.765693759918213, logmi: -0.0004966437816619873
Episode 86, logq_z: -3.0904224634170534, logmi: 8.977651596069336e-05
Episode 87, logq_z: -2.7302867770195007, logmi: -0.00041114687919616697
Episode 88, logq_z: -2.985625433921814, logmi: -0.0005203425884246826
Episode 89, logq_z: -2.959607696533203, logmi: -0.0007891654968261719
Episode 90, logq_z: -3.025084209442139, logmi: -0.0010718166828155517
Episode 91, logq_z: -2.9931837797164915, logmi: 0.0009130001068115235
Episode 92, logq_z: -2.851630997657776, logmi: -0.00023642778396606445
Episode 93, logq_z: -3.0202379703521727, logmi: -0.0007685482501983643
Episode 94, logq_z: -2.7045756459236143, logmi: 0.00022796392440795898
Episode 95, logq_z: -2.9328795194625856, logmi: -0.0005023658275604248
Episode 96, logq_z: -3.10534553527832, logmi: -0.0009463369846343994
Episode 97, logq_z: -2.9112746477127076, logmi: -0.0004902958869934082
Episode 98, logq_z: -2.863953423500061, logmi: -0.0012907266616821289
Episode 99, logq_z: -2.910756969451904, logmi: 0.0006110131740570069
Policy saved at ./checkpoints/joint_policy_100_2025-05-29-19-20-35.pt
Episode 100, logq_z: -2.958694505691528, logmi: -0.0003468513488769531
Episode 101, logq_z: -2.8092336893081664, logmi: -0.0002353847026824951
Episode 102, logq_z: -3.0436165571212768, logmi: -0.0011365473270416259
