/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                              | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.2492799758911133, logmi: 0.006526052951812744
Episode 70, logq_z: -1.4311003684997559, logmi: 6.478605791926384e-05
Episode 71, logq_z: -1.505379557609558, logmi: 4.485319368541241e-05
Episode 72, logq_z: -1.510565996170044, logmi: -9.059906005859375e-06
Episode 73, logq_z: -1.4633363485336304, logmi: 2.610962837934494e-05
Episode 74, logq_z: -1.495991587638855, logmi: 1.0058283805847168e-05
Episode 75, logq_z: -1.546241044998169, logmi: 1.1457828804850578e-05
Episode 76, logq_z: -1.5067899227142334, logmi: -8.61380249261856e-06
Episode 77, logq_z: -1.4832701683044434, logmi: 2.493569627404213e-05
Episode 78, logq_z: -1.4870315790176392, logmi: -1.1495081707835197e-05
Episode 79, logq_z: -1.5169246196746826, logmi: -8.856877684593201e-07
Episode 80, logq_z: -1.5048640966415405, logmi: 1.7169630154967308e-05
Episode 81, logq_z: -1.5558594465255737, logmi: 2.0215287804603577e-05
Episode 82, logq_z: -1.5267627239227295, logmi: -1.6439007595181465e-05
Episode 83, logq_z: -1.505175232887268, logmi: -4.522711969912052e-05
Episode 84, logq_z: -1.489659309387207, logmi: -3.087124787271023e-05
Episode 85, logq_z: -1.5358444452285767, logmi: -2.3399479687213898e-07
Episode 86, logq_z: -1.505638837814331, logmi: 4.369975067675114e-05
Episode 87, logq_z: -1.474907636642456, logmi: 2.4097971618175507e-07
Episode 88, logq_z: -1.4667930603027344, logmi: 1.1112308129668236e-05
Episode 89, logq_z: -1.4701638221740723, logmi: -3.6314595490694046e-06
Episode 90, logq_z: -1.5069767236709595, logmi: 2.2341497242450714e-05
Episode 91, logq_z: -1.4890621900558472, logmi: -2.8050970286130905e-05
Episode 92, logq_z: -1.5004773139953613, logmi: -1.9789906218647957e-05
Episode 93, logq_z: -1.4867974519729614, logmi: 3.684964030981064e-05
Episode 94, logq_z: -1.4850654602050781, logmi: 3.753066994249821e-05
Episode 95, logq_z: -1.5460361242294312, logmi: 1.875404268503189e-05
Episode 96, logq_z: -1.519399881362915, logmi: 3.7969788536429405e-05
Episode 97, logq_z: -1.4863123893737793, logmi: 1.7881393432617188e-06
Episode 98, logq_z: -1.5046995878219604, logmi: 3.899307921528816e-05
Episode 99, logq_z: -1.537729024887085, logmi: -6.692251190543175e-06
Policy saved at ./checkpoints/joint_policy_100_2025-06-07-02-25-58.pt
Episode 100, logq_z: -1.4736183881759644, logmi: 5.761138163506985e-05
Episode 101, logq_z: -1.4827642440795898, logmi: 3.964896313846111e-05
Episode 102, logq_z: -1.4948722124099731, logmi: 1.2308359146118164e-05
Episode 103, logq_z: -1.5316921472549438, logmi: 4.719942808151245e-06
Episode 104, logq_z: -1.5196666717529297, logmi: 1.1961208656430244e-05
Episode 105, logq_z: -1.5075454711914062, logmi: -1.253490336239338e-05
Episode 106, logq_z: -1.5151528120040894, logmi: 3.610597923398018e-05
Episode 107, logq_z: -1.4891585111618042, logmi: 6.239628419280052e-06
Episode 108, logq_z: -1.4803112745285034, logmi: -2.9010698199272156e-06
Episode 109, logq_z: -1.4693259000778198, logmi: 3.485335037112236e-05
Episode 110, logq_z: -1.498181939125061, logmi: 6.050802767276764e-06
Episode 111, logq_z: -1.47920560836792, logmi: 1.8598278984427452e-05
Episode 112, logq_z: -1.520634412765503, logmi: 2.9902439564466476e-06
Episode 113, logq_z: -1.506155252456665, logmi: 7.350929081439972e-06
Episode 114, logq_z: -1.4963284730911255, logmi: 9.612878784537315e-06
Episode 115, logq_z: -1.5117278099060059, logmi: 2.625095658004284e-05
Episode 116, logq_z: -1.5351970195770264, logmi: 3.530620597302914e-05
Episode 117, logq_z: -1.4931858777999878, logmi: -6.175367161631584e-06
Episode 118, logq_z: -1.526038646697998, logmi: 3.8191210478544235e-05
Episode 119, logq_z: -1.520383596420288, logmi: 1.8543098121881485e-05
Episode 120, logq_z: -1.5106587409973145, logmi: 2.6599038392305374e-05
